epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4054,2.25126,2.73197,1.34759,0.5961,0.41231,0.4261,0.14536,2.36203,1.50063,1.36469,0.0675,0.000328283,0.000328283
2,95.8393,2.11061,1.2022,1.27847,0.65152,0.56308,0.50265,0.15048,2.37809,1.58338,1.46326,0.0344869,0.000648516,0.000648516
3,136.254,2.0969,1.17872,1.2939,0.55827,0.55692,0.43783,0.14395,2.18128,1.57737,1.30914,0.0014606,0.000955549,0.000955549
4,176.154,2.10737,1.18648,1.31737,0.74616,0.62154,0.65125,0.24321,2.03641,1.13341,1.26813,0.0009406,0.0009406,0.0009406
5,221.8,2.07128,1.13822,1.2706,0.68925,0.61423,0.61728,0.23521,2.07203,1.06472,1.26172,0.0009208,0.0009208,0.0009208
6,262.274,2.06077,1.10391,1.29721,0.66697,0.60615,0.59553,0.23,2.03054,1.16239,1.25222,0.000901,0.000901,0.000901
7,302.339,2.05599,1.08002,1.28045,0.71728,0.67385,0.65356,0.24633,2.02498,1.10159,1.2082,0.0008812,0.0008812,0.0008812
8,343.075,2.02466,1.0678,1.27482,0.66531,0.62387,0.63543,0.24808,2.13171,1.02954,1.25923,0.0008614,0.0008614,0.0008614
9,384.392,2.01585,1.04254,1.25371,0.75616,0.67385,0.68725,0.26666,2.00955,1.03508,1.20975,0.0008416,0.0008416,0.0008416
10,426.684,1.99335,1.02582,1.24242,0.71713,0.57846,0.64063,0.2401,2.00517,1.18101,1.17555,0.0008218,0.0008218,0.0008218
11,466.594,1.99886,1.04043,1.25396,0.7402,0.62243,0.64376,0.24076,2.06029,1.11714,1.22813,0.000802,0.000802,0.000802
12,506.207,1.98535,1.00862,1.25041,0.75564,0.65538,0.66824,0.25209,2.04844,0.99365,1.22085,0.0007822,0.0007822,0.0007822
13,547.882,1.96502,0.99743,1.24076,0.74636,0.64285,0.70582,0.27662,2.02488,1.01294,1.20475,0.0007624,0.0007624,0.0007624
14,587.896,1.95407,1.00712,1.22107,0.80174,0.68434,0.72154,0.27759,2.08002,0.95612,1.24696,0.0007426,0.0007426,0.0007426
15,628.611,1.93055,0.96894,1.24671,0.75662,0.65045,0.70065,0.28478,2.10587,0.99289,1.25537,0.0007228,0.0007228,0.0007228
16,669.708,1.94309,0.9718,1.23909,0.73459,0.69846,0.72361,0.27801,2.01436,1.00066,1.20258,0.000703,0.000703,0.000703
17,710.565,1.93602,0.97833,1.23606,0.78212,0.61851,0.65262,0.25077,2.11088,0.97167,1.24346,0.0006832,0.0006832,0.0006832
18,752.635,1.89659,0.92924,1.20563,0.73565,0.64923,0.68287,0.26492,2.0118,0.96034,1.21126,0.0006634,0.0006634,0.0006634
